_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
49a57f8c-6965-4278-80b5-fc11757188df,GCH666,Estágio docente supervisionado I,7,105,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,7,Sim,Não,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
5bb25eda-fa93-43b5-9f8c-4bfa4f3f5e9f,GCH667,Estágio docente supervisionado II,7,105,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,8,Sim,Não,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
468c78b4-bae1-41e1-942a-38f52285f007,GCH668,Estágio docente supervisionado III,13,195,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,9,Sim,Não,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
95b6e134-9294-4413-9bb9-aef13d4fda8e,GCH669,Ciências sociais no Brasil,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,7,Sim,Não,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
dd5c9c01-3fbe-4a4a-bf84-eccce19eff9f,GCH669,Ciências sociais no Brasil,4,60,106-FILOSOFIA - ERECHIM - 2020,0,Não,Sim,Erechim,5702,5000397,FILOSOFIA,NOTURNO,Sim,Sim,2021-08-19
8c91b043-ca76-49dd-b6ee-55e8a46b76e1,GCH670,Economia para ciências sociais,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,7,Sim,Não,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
f5e69aa2-5304-4a18-9333-e5e306b2f185,GCH671,Trabalho de conclusão de curso I,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,8,Sim,Não,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
e2535ce4-0c2e-4a52-a109-0f73911e46b3,GCH672,Trabalho de conclusão de curso II,8,120,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,9,Sim,Não,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
20258b33-fba5-4ed1-b25b-714ebba08863,GCH673,Estado-nação e nacionalismo,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
af408906-2557-4628-807f-98a8b410a5ab,GCH674,Estrutura de classes e estratificação social,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
9f07aacc-fa16-43f5-9017-c1388251890c,GCH675,Estudos de partidos políticos,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
231a5009-f620-4c4a-a501-e97046074551,GCH676,Estudos rurais I,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
f900185d-eb50-4a49-b0f6-36f035b04f19,GCH677,Estudos rurais II,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
6da474d1-0c77-48cb-98dc-e226aa3ea0f8,GCH678,Estudos do trabalho I,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
b822c100-293c-4e53-9fc7-7768e3a70a46,GCH679,Estudos do trabalho II,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
c60e5fd3-a8bc-4100-85b5-13e08b5104ad,GCH680,Estudos urbanos,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
08fddc8c-7bad-43f9-9df4-036fef425e34,GCH681,"Identidades, etnicidade e minorias",4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
ec926701-40af-409e-88c5-ec260e096a5d,GCH682,Imperialismo e dependência,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
a03ff769-fbb8-4afb-b0e0-43a6303808b1,GCH683,Mobilidade e desigualdade social,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
8ab1de74-03da-4574-98a2-e3ff8ea0a976,GCH684,Movimentos sociais I,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
2d5003a9-87b1-428d-9cb1-7e9be425a779,GCH685,Movimentos sociais II,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
