_id,nome_campus,ano,semestre,cod_ccr,nome_ccr,cr_ccr,ch_ccr,id_turma,desc_turma,tem_turma,cod_uffs_curso_turma,curso_turma,fase_turma,lista_docentes_ch,ch_teorica,ch_pratica,vagas_turma,qtd_inscritos,qtd_concluiram,sit_turma,data_atualizacao
131567d8-d5b9-43aa-a9e2-db368c4fe54b,Cerro Largo,2018,2,GCA208,Agroecologia I,4,60,21478,Agronomia - 6ª Fase - Integral - 2018/2,,4500,AGRONOMIA,6,"[{""docente"":""EVANDRO PEDRO SCHNEIDER"",""ch_docente"":60}]",0,0,55,55,54,Encerrada,2021-08-19
c36d1217-e372-4ce9-b996-7825b68db3bf,Erechim,2020,1,GCH805,Didática geral,4,60,27494,Interdisciplinar em Educação do Campo: Ciências da Natureza (Pronacampo) - 4ª Fase - (Remoto) - 2020/1,,5510,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS DA NATUREZA,4,"[{""docente"":""LIDIANE LIMANA PUIATI PAGLIARIN"",""ch_docente"":60}]",0,0,50,32,27,Encerrada,2021-08-19
4cf4f50e-9626-439e-ba51-dd89681c90c2,Realeza,2015,1,GCA088,Toxicologia veterinária,4,60,9760,Medicina Veterinária (Turma B) - 7ª Fase - Integral - 2015/1,,3530,MEDICINA VETERINÁRIA,7,"[{""docente"":""FABIANA ELIAS"",""ch_docente"":15},{""docente"":""VALFREDO SCHLEMPER"",""ch_docente"":15}]",0,0,25,25,25,Encerrada,2021-08-19
7c4e68c3-3084-4ff4-9e40-4c1e2e5cf925,Chapecó,2020,1,GCH631,Estágio curricular supervisionado: prática de ensino em geografia II,8,120,28102,Geografia (Turma B) - 7ª fase - 2020/1,,1711,GEOGRAFIA,7,"[{""docente"":""WILLIAN SIMOES"",""ch_docente"":15}]",0,0,25,0,0,Cancelamento Administrativo,2021-08-19
6c9beece-aa89-4d71-9414-a143b3f644fb,Cerro Largo,2016,1,GCS439,Economia solidária,2,30,14298,Administração (Optativo) - 3ª Fase - Integral - 2016/1,,4601,ADMINISTRAÇÃO,3,"[{""docente"":""ARTUR FILIPE EWALD WUERGES"",""ch_docente"":15},{""docente"":""LOUISE DE LIRA ROEDEL BOTELHO"",""ch_docente"":15}]",0,0,50,41,38,Encerrada,2021-08-19
a172b3d7-83cf-41d1-80d0-972857dd68ff,Erechim,2020,1,GCH1227,Estágio supervisionado no ensino fundamental (estágio II),8,120,27503,Interdisciplinar em Educação do Campo: Ciências da Natureza (Pronacampo) - 6ª Fase - 2020/1,,5510,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS DA NATUREZA,6,"[{""docente"":""JAQUELINE TERESINHA KREBS"",""ch_docente"":120},{""docente"":""LINDOMAR ALBERTO LERIN"",""ch_docente"":120},{""docente"":""SINARA MUNCHEN"",""ch_docente"":120}]",0,0,50,0,0,Cancelamento Administrativo,2021-08-19
0d6c104f-6c2e-4a0d-93bf-285cdf9ebbb0,Chapecó,2020,1,GCS010,Direitos e cidadania,4,60,27768,Enfermagem - 3ª fase (Remoto) - 2020/1,,1400,ENFERMAGEM,3,"[{""docente"":""MONICA HASS"",""ch_docente"":60}]",0,0,0,47,33,Encerrada,2021-08-19
94cdd8f6-d020-4fb6-9433-fdd624777e97,Erechim,2020,1,GEX208,Informática básica,4,60,27773,Ciências Sociais - 3ª Fase - (Remoto) - 2020/1	,,5742,CIÊNCIAS SOCIAIS,3,"[{""docente"":""ANDRE GUSTAVO SCHAEFFER"",""ch_docente"":60}]",0,0,0,39,29,Encerrada,2021-08-19
910f1abf-2cca-449a-8d40-536cb12133f6,Cerro Largo,2017,2,GLA050,Estágio curricular supervisionado em língua espanhola I,3,45,18688,Letras: Português e Espanhol - 6ª Fase - Noturno - 2017/2,,4802,LETRAS - PORTUGUÊS E ESPANHOL,6,"[{""docente"":""GENI VANDERLEIA MOURA DA COSTA"",""ch_docente"":45}]",0,0,50,22,20,Encerrada,2021-08-19
fe7139cb-2e95-452c-bbe6-861965ba8e20,Laranjeiras do Sul,2017,2,GCB002,Bioquímica,4,60,18195,Engenharia de Aquicultura - 2ª Fase - Integral - 2017/2,,2510,ENGENHARIA DE AQUICULTURA,2,"[{""docente"":""LUISA HELENA CAZAROLLI"",""ch_docente"":60}]",0,0,50,41,39,Encerrada,2021-08-19
a98ae40f-204c-4071-ac46-dd05e29ac4d2,Erechim,2018,2,GCH290,Iniciação à prática científica,4,60,21558,Filosofia - 6ª Fase - Noturno - 2018/2,,5702,FILOSOFIA,6,"[{""docente"":""LUCAS ROISENBERG RODRIGUES"",""ch_docente"":60}]",0,0,50,32,27,Encerrada,2021-08-19
dd9bcb29-b9b9-4cb4-9845-4d8f4ba562b3,Chapecó,2015,2,GLA037,Fundamentos teórico-metodológicos do ensino da língua portuguesa,3,45,12187,Letras - Português e Espanhol - 7ª Fase - Noturno - 2015/2,,1801,LETRAS - PORTUGUÊS E ESPANHOL,7,"[{""docente"":""DULCE DO CARMO FRANCESCHINI"",""ch_docente"":45}]",0,0,35,15,14,Encerrada,2021-08-19
a275e210-96bb-41e2-ac62-afb655e0066e,Chapecó,2016,2,GCH013,Didática geral,3,45,15915,Pedagogia - 2ª Fase - Matutino - 2016/2,,1730,PEDAGOGIA,2,"[{""docente"":""MARCIA ANDREIA TRICHES"",""ch_docente"":45}]",0,0,55,56,52,Encerrada,2021-08-19
ce58a7b6-be1c-422d-99a3-ac99b0fbc6ca,Realeza,2014,2,GCB004,Bioquímica básica,4,60,8198,Nutrição (Turma B) - 2ª Fase - Integral - 2014/2,,3410,NUTRIÇÃO,2,"[{""docente"":""DALILA MOTER BENVEGNU"",""ch_docente"":45}]",0,0,24,24,22,Encerrada,2021-08-19
5056ad2d-b904-4e3b-a56b-337220f1b542,Chapecó,2016,2,GEX001,Matemática instrumental,4,60,14920,Ciência da Computação - 1ª Fase - Noturno - 2016/2,,1101,CIÊNCIA DA COMPUTAÇÃO,1,"[{""docente"":""ANA PAULA ROHRBEK CHIARELLO"",""ch_docente"":60}]",0,0,58,63,55,Encerrada,2021-08-19
0f501961-f370-4a64-8f79-4f7e0c9a3dc9,Cerro Largo,2018,1,GCS052,Direito ambiental,2,30,21187,Ciências Biológicas (Optativo) - 7ª fase - Integral - 2018/1,,4200,CIÊNCIAS BIOLÓGICAS,7,"[{""docente"":""SERLI GENZ BOLTER"",""ch_docente"":30}]",0,0,60,60,43,Encerrada,2021-08-19
fb86085b-7cec-47ea-a6ef-694a38ee3f41,Laranjeiras do Sul,2017,2,GLA004,Leitura e produção textual II,4,60,18187,Engenharia de Aquicultura - 2ª Fase - Integral - 2017/2,,2510,ENGENHARIA DE AQUICULTURA,2,"[{""docente"":""MARCELA LANGA LACERDA"",""ch_docente"":60}]",0,0,50,35,26,Encerrada,2021-08-19
